Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,GEDI_metrics,Spatial_resolution_m,Resolution_class,Spatial_resol_ID,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Model_comparison,Best_model,Training_samples,Study_scale,R2,r,Fisher_Z,r_check,R2_check,vi
M492,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,,15.0,High,5 â 30 m,Optical+SAR,Yes,Machine-learning,kNN,Yes,No,,Local,0.559,0.747663026,0.967634683,0.7477,0.559,
M493,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,,15.0,High,5 â 30 m,Optical+SAR,Yes,Machine-learning,Multilayer Perceptron,Yes,No,,Local,0.724,0.850881895,1.259339432,0.8509,0.724,
M494,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,,15.0,High,5 â 30 m,Optical+SAR,Yes,Statistical,Partial Least Squares,Yes,No,,Local,0.815,0.902773504,1.487012288,0.9028,0.815,
M495,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,,15.0,High,5 â 30 m,Optical+SAR,Yes,Machine-learning,Gradient Boosted Decision Tree,Yes,No,,Local,0.825,0.908295106,1.517694881,0.9083,0.825,
M496,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,,15.0,High,5 â 30 m,Optical+SAR,Yes,Machine-learning,Random Forest,Yes,No,,Local,0.826,0.908845421,1.520848558,0.9088,0.826,
M497,S122,Bawangling_TLR,Chen et al. 2026,2026,Ecological Indicators,China,East-Asia,Tropical,Evergreen_forest,Mountainous,No,Missing,,15.0,High,5 â 30 m,Optical+SAR,Yes,Machine-learning,XGBoost,Yes,Yes,,Local,0.836,0.914330356,1.553312304,0.9143,0.836,
M498,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,kNN,Yes,No,76953.0,Regional,0.5,0.707106781,0.881373587,0.7071,0.5,1.3e-05
M499,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,Artificial Neural Network (ANN),Yes,No,76953.0,Regional,0.61,0.781024968,1.047993293,0.781,0.61,1.3e-05
M500,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,CatBoost,Yes,No,76953.0,Regional,0.74,0.860232527,1.294238318,0.8602,0.74,1.3e-05
M501,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,Extremely Randomized Trees,Yes,No,76953.0,Regional,0.8,0.894427191,1.443635475,0.8944,0.8,1.3e-05
M502,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,No,76953.0,Regional,0.8,0.894427191,1.443635475,0.8944,0.8,1.3e-05
M503,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,LightGBM,Yes,No,76953.0,Regional,0.82,0.905538514,1.502163867,0.9055,0.82,1.3e-05
M504,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,XGBoost,Yes,No,76953.0,Regional,0.83,0.911043358,1.533627775,0.911,0.83,1.3e-05
M505,S123,Great_Xingan_Mountains,Yang et al. 2025c,2025,Ecological Indicators,China,East-Asia,Temperate,Mixed forest,Mountainous,Yes,GEDI L4B,Other-GEDI,1000.0,Low,> 500 m,LiDAR+Optical,Yes,Machine-learning,Stacking Ensemble,Yes,Yes,76953.0,Regional,0.83,0.911043358,1.533627775,0.911,0.83,1.3e-05
