Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,GEDI_metrics,Spatial_resolution_m,Resolution_class,Spatial_resol_ID,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Model_comparison,Best_model,Training_samples,Study_scale,R2,r,Fisher_Z,r_check,R2_check,vi
M532,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5 â 30 m,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,Yes,No,,Multi-country,0.47,0.685565,0.839539,0.6856,0.47,
M534,S307,DRC_All_plots,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Mixed forest,Complex terrain,No,,,100.0,Medium,30 â 100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,Yes,92.0,National,0.58,0.761577,0.999959,0.7616,0.58,0.011236
M535,S307,DRC_Humid_forests,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Tropical moist forest,Complex terrain,No,,,100.0,Medium,30 â 100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,No,92.0,National,0.33,0.574456,0.654148,0.5745,0.33,0.011236
M536,S307,DRC_Swamp_forests,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Mixed forest,Complex terrain,No,,,100.0,Medium,30 â 100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,No,92.0,National,0.02,0.141421,0.142375,0.1414,0.02,0.011236
M537,S307,DRC_Woodland_savanna,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Shrubland,Complex terrain,No,,,100.0,Medium,30 â 100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,No,92.0,National,0.41,0.640312,0.758702,0.6403,0.41,0.011236
M506,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.04,0.2,0.202733,0.2,0.04,0.02381
M507,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.26,0.509902,0.562597,0.509902,0.26,0.02381
M508,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.42,0.648074,0.771971,0.648074,0.42,0.02381
M509,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.47,0.685565,0.839539,0.685565,0.469999,0.02381
M510,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.12,0.34641,0.361358,0.34641,0.12,0.02381
M511,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.69,0.830662,1.190268,0.830662,0.689999,0.02381
M512,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.84,0.916515,1.566798,0.916515,0.84,0.02381
M513,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.38,0.616441,0.719244,0.616441,0.379999,0.02381
M514,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.44,0.663325,0.798728,0.663325,0.44,0.02381
M515,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.59,0.768115,1.015714,0.768115,0.590001,0.02381
M516,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.86,0.927362,1.63921,0.927362,0.86,0.02381
M517,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.9,0.948683,1.818443,0.948683,0.899999,0.02381
M518,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.88,0.938083,1.72183,0.938083,0.88,0.02381
M519,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1  5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,Yes,45.0,Local,0.89,0.943398,1.768074,0.943398,0.89,0.02381
M520,S305,Betul,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Deciduous forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,34.0,Local,0.76,0.87178,1.340449,0.87178,0.76,0.032258
M521,S305,Achanakmar,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Mixed forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,16.0,Local,0.9,0.948683,1.818443,0.948683,0.899999,0.076923
M522,S305,Yellapur,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Mixed forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,15.0,Local,0.85,0.921954,1.6019,0.921954,0.849999,0.083333
M523,S305,Uppangala,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Tropical moist forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,23.0,Local,0.64,0.8,1.098612,0.8,0.64,0.05
M524,S305,Khaoyai,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Thailand,South-Asia,Tropical,Tropical moist forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,31.0,Local,0.65,0.806226,1.116151,0.806226,0.65,0.035714
M525,S305,Nachtigal,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Cameroon,Central-Africa,Tropical,Mixed forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,11.0,Local,0.22,0.469042,0.508841,0.469042,0.22,0.125
M526,S305,Cameroon_regional,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Cameroon,Central-Africa,Tropical,Tropical moist forest,Hilly,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,27.0,Regional,0.66,0.812404,1.134059,0.812404,0.66,0.041667
M527,S305,Mabounié,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,11.0,Local,0.79,0.888819,1.416274,0.888819,0.789999,0.125
M528,S305,Rabi,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,No,,,100.0,Medium,30  100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,25.0,Local,0.54,0.734847,0.939184,0.734847,0.54,0.045455
M529,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5  30 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,Yes,No,,Multi-country,0.37,0.608276,0.70618,0.608276,0.369999,
M530,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5  30 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,Yes,Yes,,Multi-country,0.4,0.632456,0.745499,0.632456,0.400001,
M531,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5  30 m,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,Yes,No,,Multi-country,0.49,0.7,0.867301,0.7,0.49,
M532,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5  30 m,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,Yes,No,,Multi-country,0.47,0.685565,0.839539,0.685565,0.469999,
M534,S307,DRC_All_plots,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Mixed forest,Complex terrain,No,,,100.0,Medium,30  100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,Yes,92.0,National,0.58,0.761577,0.999959,0.761577,0.579999,0.011236
M535,S307,DRC_Humid_forests,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Tropical moist forest,Complex terrain,No,,,100.0,Medium,30  100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,No,92.0,National,0.33,0.574456,0.654148,0.574456,0.329999,0.011236
M536,S307,DRC_Swamp_forests,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Mixed forest,Complex terrain,No,,,100.0,Medium,30  100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,No,92.0,National,0.02,0.141421,0.142375,0.141421,0.02,0.011236
M537,S307,DRC_Woodland_savanna,"Lamulamu et al. 2022. Assessing the Predictive Power of Democratic Republic of Congo's National Spaceborne Biomass Map over Independent Test Samples. Remote Sensing, 14, 4126.",2022,Remote Sensing,Democratic Republic of Congo,Central-Africa,Tropical,Shrubland,Complex terrain,No,,,100.0,Medium,30  100 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,No,No,92.0,National,0.41,0.640312,0.758702,0.640312,0.409999,0.011236
