Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,Spatial_resolution_m,Resolution_class,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Best_model,Training_samples,Study_scale,AGB_unit,RMSE
M236,S83,Miombo-Tanzania,Melitha et al. 2025,2025,Earth Science Informatics,Tanzania,East-Africa,Tropical,Miombo woodland,Hilly,No,Missing,0.04,Ultra-high-resolution,Optical-only,No,Machine-learning,Gradient Boosting,No,78,Local,Mg/ha,61.49
M237,S83,Miombo-Tanzania,Melitha et al. 2025,2025,Earth Science Informatics,Tanzania,East-Africa,Tropical,Miombo woodland,Hilly,No,Missing,0.04,Ultra-high-resolution,Optical-only,No,Machine-learning,SVM,No,78,Local,Mg/ha,61.31
M239,S84,CanGio-Vietnam,Luong et al. 2019,2019,Applied Ecology and Environmental Research,Vietnam,Southeast-Asia,Tropical,Mangrove,Coastal,No,Missing,6.25,High-resolution,SAR-only,No,Statistical,Linear Regression,No,30,Local,Mg/ha,28.16
M240,S84,CanGio-Vietnam,Luong et al. 2019,2019,Applied Ecology and Environmental Research,Vietnam,Southeast-Asia,Tropical,Mangrove,Coastal,No,Missing,6.25,High-resolution,SAR-only,No,Statistical,Polynomial regression,No,30,Local,Mg/ha,28.03
M241,S84,CanGio-Vietnam,Luong et al. 2019,2019,Applied Ecology and Environmental Research,Vietnam,Southeast-Asia,Tropical,Mangrove,Coastal,No,Missing,6.25,High-resolution,SAR-only,Yes,Statistical,Multiple Linear Regression,No,30,Local,Mg/ha,29.78
M242,S84,CanGio-Vietnam,Luong et al. 2019,2019,Applied Ecology and Environmental Research,Vietnam,Southeast-Asia,Tropical,Mangrove,Coastal,No,Missing,6.25,High-resolution,SAR-only,Yes,Statistical,Multiple Linear Regression,Yes,30,Local,Mg/ha,27.76
M244,S86,Vancouver-Island-Canada,Chen & Hay 2011,2011,Photogrammetric Engineering and Remote Sensing,Canada,North-America,Temperate,Coniferous forest,Mountainous,No,Missing,1,Very-high-resolution,LiDAR+Optical,Yes,Machine-learning,SVM,Yes,,Local,Mg/ha,63.1
M245,S87,Gwangneung-Korea,Kim et al. 2010,2010,Science China Life Sciences,South Korea,East-Asia,Temperate,Coniferous forest,Mountainous,No,Missing,0.25,Very-high-resolution,LiDAR+Optical,Yes,Statistical,Allometric Model,Yes,47,Local,Mg/tree,5.07
M246,S88,Puer,Wang et al. 2024,2024,Forests,China,East-Asia,Subtropical,Coniferous forest,Mountainous,Yes,GEDI L4A,30,Medium,Optical+SAR,Yes,Machine-learning,Random Forest,No,27,Local,Mg/ha,25.21
M247,S88,All-sites,Wang et al. 2024,2024,Forests,China,East-Asia,Subtropical,Mixed forest,Mountainous,Yes,GEDI L4A,30,Medium,Optical+SAR,Yes,Machine-learning,Random Forest,No,98,Regional,Mg/ha,29.42
M248,S88,Puer-Broadleaf,Wang et al. 2024,2024,Forests,China,East-Asia,Subtropical,Evergreen_forest,Mountainous,Yes,GEDI L4A,30,Medium,Optical+SAR,Yes,Machine-learning,Random Forest,No,31,Local,Mg/ha,12.54
M249,S88,Yiliang,Wang et al. 2024,2024,Forests,China,East-Asia,Subtropical,Coniferous forest,Mountainous,Yes,GEDI L4A,30,Medium,Optical+SAR,Yes,Machine-learning,Random Forest,Yes,40,Local,Mg/ha,7.95
M258,S91,Sonoma-County,Duncanson et al. 2020,2020,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,Yes,GEDI Multi-level,25,Medium,LiDAR-only,Yes,Statistical,OLS Regression,Yes,,Regional,Mg/ha,80.2
M259,S91,Sonoma-County,Duncanson et al. 2020,2020,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,100,Coarse,LiDAR-only,Yes,Statistical,OLS Regression,No,,Regional,Mg/ha,137.8
M260,S91,Sonoma-County,Duncanson et al. 2020,2020,Remote Sensing of Environment,USA,North-America,Temperate,Mixed forest,Mountainous,No,Missing,30,Medium,SAR-only,Yes,Statistical,Logarithmic Regression,No,,Regional,Mg/ha,151.55
M263,S92,Multi-biome,Cendagorta-Galarza Friend 2025,2025,,Multiple,Global,Boreal,Mixed forest,Complex terrain,No,Missing,100,Coarse,,No,Statistical,ESA CCI global biomass dataset used as benchmark,No,,Multi-country,Statistical,0.54
M275,S92,Catalonia,Cendagorta-Galarza Friend 2025,2025,Master Thesis UPC,Spain,Europe,Mediterranean,Mixed forest,Complex terrain,Yes,Missing,100,,,,Statistical,,,,Regional,,0.085
M276,S93,Wunbaik-Mangrove,Maung et al. 2025,2025,Discover Conservation,Myanmar,Southeast-Asia,Tropical,Mangrove,Flat / Lowland,No,Missing,10,Fine,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,No,60,Local,Mg/ha,44.22
M277,S93,Wunbaik-Mangrove,Maung et al. 2025,2025,Discover Conservation,Myanmar,Southeast-Asia,Tropical,Mangrove,Flat / Lowland,No,Missing,10,Fine,Optical+SAR+LiDAR,Yes,Machine-learning,SVM,No,60,Local,Mg/ha,37.7
M278,S93,Wunbaik-Mangrove,Maung et al. 2025,2025,Discover Conservation,Myanmar,Southeast-Asia,Tropical,Mangrove,Flat / Lowland,No,Missing,10,Fine,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,60,Local,Mg/ha,32.05
M279,S94,Genhe-Forest-Farms,Ding et al. 2025,2025,Remote Sensing,China,East-Asia,Temperate,Mixed forest,Hilly,Yes,GEDI Multi-level,25,Fine,Optical+SAR+LiDAR,Yes,Statistical,Hybrid Biomass Model,No,80,Local,Mg/ha,33.95
M280,S94,Genhe-Forest-Farms,Ding et al. 2025,2025,Remote Sensing,China,East-Asia,Temperate,Mixed forest,Hilly,Yes,GEDI Multi-level,25,Fine,Optical+SAR+LiDAR,Yes,Statistical,Hybrid Biomass Model,No,80,Local,Mg/ha,33.72
M281,S94,Genhe-Forest-Farms,Ding et al. 2025,2025,Remote Sensing,China,East-Asia,Temperate,Mixed forest,Hilly,Yes,GEDI Multi-level,25,Fine,Optical+SAR+LiDAR,Yes,Statistical,Regression Kriging,Yes,80,Local,Mg/ha,27.07
M282,S94,Genhe-Forest-Farms,Ding et al. 2025,2025,Remote Sensing,China,East-Asia,Temperate,Mixed forest,Hilly,Yes,GEDI Multi-level,25,Fine,Optical+SAR+LiDAR,Yes,Statistical,3sGHMB,No,80,Local,Mg/ha,36.58
M283,S94,Genhe-Forest-Farms,Ding et al. 2025,2025,Remote Sensing,China,East-Asia,Temperate,Mixed forest,Hilly,Yes,GEDI Multi-level,25,Fine,Optical+SAR+LiDAR,Yes,Statistical,Hybrid Biomass Model,No,80,Local,Mg/ha,28.55
M284,S95,Florida-sites,Bueno et al. 2025,2025,Remote Sensing,USA,North-America,Subtropical,Mixed forest,Flat / Lowland,Yes,GEDI L4A,30,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,Yes,1000,Local,Mg/ha,48.3
M285,S95,Florida-sites,Bueno et al. 2025,2025,Remote Sensing,USA,North-America,Subtropical,Mixed forest,Flat / Lowland,Yes,GEDI Multi-level,30,Medium,Optical+SAR+LiDAR,Yes,Machine-learning,Random Forest,No,1000,Local,Mg/ha,43.7
M286,S95,Florida-sites,Bueno et al. 2025,2025,Remote Sensing,USA,North-America,Subtropical,Mixed forest,Flat / Lowland,Yes,GEDI L2A,30,Medium,Optical+SAR+LiDAR,Yes,Statistical,Power law regression,No,27,Local,Mg/ha,51.7
M287,S96,Misiones-Pinus-plantations,Grings et al. 2025,2025,Journal of Applied Remote Sensing,Argentina,South-America,Subtropical,Plantation,Flat / Lowland,Yes,GEDI L4A,25,Fine,LiDAR-only,No,Statistical,Validation correlation,Yes,37,Local,Mg/ha,89.1
M304,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,1,Fine,LiDAR-only,No,Statistical,Weighted Least Squares,No,632,Local,Mg/ha,62.9
M305,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,5,Fine,Optical-only,No,Statistical,Weighted Least Squares,No,632,Local,Mg/ha,98.0
M306,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,30,Medium,Optical-only,No,Statistical,Weighted Least Squares,No,632,Local,Mg/ha,99.7
M307,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,5,Fine,LiDAR+Optical,Yes,Statistical,Weighted Least Squares,No,632,Local,Mg/ha,62.4
M308,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Statistical,Weighted Least Squares,No,632,Local,Mg/ha,65.3
M309,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,1,Fine,LiDAR-only,No,Machine-learning,Random Forest,No,632,Local,Mg/ha,61.72
M310,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,5,Fine,Optical-only,No,Machine-learning,Random Forest,No,632,Local,Mg/ha,88.42
M311,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,30,Medium,Optical-only,No,Machine-learning,Random Forest,No,632,Local,Mg/ha,87.14
M312,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,5,Fine,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,632,Local,Mg/ha,58.49
M313,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,Random Forest,No,632,Local,Mg/ha,59.53
M314,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,1,Fine,LiDAR-only,No,Machine-learning,Extremely Randomized Trees,No,632,Local,Mg/ha,60.84
M315,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,5,Fine,Optical-only,No,Machine-learning,Extremely Randomized Trees,No,632,Local,Mg/ha,91.2
M316,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,30,Medium,Optical-only,No,Machine-learning,Extremely Randomized Trees,No,632,Local,Mg/ha,89.83
M317,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,5,Fine,LiDAR+Optical,Yes,Machine-learning,Extremely Randomized Trees,No,632,Local,Mg/ha,57.8
M318,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Machine-learning,Extremely Randomized Trees,No,632,Local,Mg/ha,59.13
M319,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,1,Fine,LiDAR-only,No,Deep-learning,Stacked Autoencoder,No,632,Local,Mg/ha,55.36
M320,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,5,Fine,Optical-only,No,Deep-learning,Stacked Autoencoder,No,632,Local,Mg/ha,87.17
M321,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,No,Missing,30,Medium,Optical-only,No,Deep-learning,Stacked Autoencoder,No,632,Local,Mg/ha,85.23
M322,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,5,Fine,LiDAR+Optical,Yes,Deep-learning,Stacked Autoencoder,Yes,632,Local,Mg/ha,54.01
M323,S98,Terai_Arc_Landscape,Rana et al. 2023,2023,International Journal of Remote Sensing,Nepal,South-Asia,Tropical,Mixed forest,Flat / Lowland,Yes,Missing,30,Medium,LiDAR+Optical,Yes,Deep-learning,Stacked Autoencoder,No,632,Local,Mg/ha,58.33
M324,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,1,Very_fine,SAR-only,No,Machine-learning,Random Forest,No,130,Local,Mg/ha,32.9378
M325,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,1,Very_fine,SAR-only,No,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,31.5704
M326,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,1,Very_fine,SAR-only,No,Deep-learning,CNN,No,130,Local,Mg/ha,36.5828
M327,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,5,Fine,SAR-only,No,Machine-learning,Random Forest,No,130,Local,Mg/ha,32.9558
M328,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,5,Fine,SAR-only,No,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,32.7193
M329,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,5,Fine,SAR-only,No,Deep-learning,CNN,No,130,Local,Mg/ha,35.0048
M330,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,3,Very_fine,SAR-only,No,Machine-learning,Random Forest,No,130,Local,Mg/ha,34.5347
M331,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,3,Very_fine,SAR-only,No,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,31.7333
M332,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,3,Very_fine,SAR-only,No,Deep-learning,CNN,No,130,Local,Mg/ha,31.8198
M333,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,16,Medium,Optical-only,No,Machine-learning,Random Forest,No,130,Local,Mg/ha,30.2162
M334,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,16,Medium,Optical-only,No,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,28.2498
M335,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,16,Medium,Optical-only,No,Deep-learning,CNN,No,130,Local,Mg/ha,27.3346
M336,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,10,Fine,Optical-only,No,Machine-learning,Random Forest,No,130,Local,Mg/ha,32.6217
M337,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,10,Fine,Optical-only,No,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,27.0122
M338,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,10,Fine,Optical-only,No,Deep-learning,CNN,No,130,Local,Mg/ha,29.76
M339,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,30,Medium,Optical-only,No,Machine-learning,Random Forest,No,130,Local,Mg/ha,27.2423
M340,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,30,Medium,Optical-only,No,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,26.8161
M341,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,30,Medium,Optical-only,No,Deep-learning,CNN,No,130,Local,Mg/ha,27.2312
M342,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,SAR-only,Yes,Machine-learning,Random Forest,No,130,Local,Mg/ha,32.0451
M343,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,SAR-only,Yes,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,30.0384
M344,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,SAR-only,Yes,Deep-learning,CNN,No,130,Local,Mg/ha,34.2938
M345,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,Optical-only,Yes,Machine-learning,Random Forest,No,130,Local,Mg/ha,28.8863
M346,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,Optical-only,Yes,Deep-learning,CNN LSTM,No,130,Local,Mg/ha,26.9166
M347,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,Optical-only,Yes,Deep-learning,CNN,No,130,Local,Mg/ha,27.8161
M348,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,Optical+SAR,Yes,Machine-learning,Random Forest,No,130,Local,Mg/ha,27.554
M349,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,Optical+SAR,Yes,Deep-learning,CNN LSTM,Yes,130,Local,Mg/ha,26.4314
M350,S99,Lin'an,Tian et al. 2024,2024,Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Hilly,No,Missing,,,Optical+SAR,Yes,Deep-learning,CNN,No,130,Local,Mg/ha,27.2432
M351,S100,Inner_Mongolia,Jin et al. 2024,2024,Ecological Informatics,China,East-Asia,Arid,Shrubland,Plateau,No,Missing,0.015,Very_fine,Optical-only,No,Statistical,Power function regression,No,173,Local,kg,2.736
M352,S100,Inner_Mongolia,Jin et al. 2024,2024,Ecological Informatics,China,East-Asia,Arid,Shrubland,Plateau,No,Missing,0.015,Very_fine,Optical-only,No,Statistical,Power function regression,No,173,Local,kg,2.853
M353,S100,Inner_Mongolia,Jin et al. 2024,2024,Ecological Informatics,China,East-Asia,Arid,Shrubland,Plateau,No,Missing,0.015,Very_fine,Optical-only,No,Statistical,Power function regression,No,173,Local,kg,2.506
M354,S100,Inner_Mongolia,Jin et al. 2024,2024,Ecological Informatics,China,East-Asia,Arid,Shrubland,Plateau,No,Missing,0.015,Very_fine,Optical-only,No,Statistical,Power function regression,Yes,173,Local,kg,2.46
M355,S100,Inner_Mongolia,Jin et al. 2024,2024,Ecological Informatics,China,East-Asia,Arid,Shrubland,Plateau,No,Missing,0.015,Very_fine,Optical-only,No,Statistical,Power function regression,No,173,Local,kg,2.509
M356,S100,Inner_Mongolia,Jin et al. 2024,2024,Ecological Informatics,China,East-Asia,Arid,Shrubland,Plateau,No,Missing,0.015,Very_fine,Optical-only,No,Statistical,Power function regression,No,173,Local,kg,2.489
M384,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,Yes,GEDI Multi-level,25,Medium,LiDAR-only,No,Machine-learning,Random Forest,No,51,Local,tC/hm2,7.34
M385,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,Yes,GEDI Multi-level,25,Medium,LiDAR-only,No,Machine-learning,SVM,No,51,Local,tC/hm2,7.589
M386,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,Yes,GEDI Multi-level,25,Medium,LiDAR-only,No,Deep-learning,CNN,No,51,Local,tC/hm2,7.966
M387,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,No,Missing,8,Fine,Optical-only,No,Machine-learning,Random Forest,No,51,Local,tC/hm2,11.356
M388,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,No,Missing,8,Fine,Optical-only,No,Machine-learning,SVM,No,51,Local,tC/hm2,12.671
M389,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,No,Missing,8,Fine,Optical-only,No,Deep-learning,CNN,No,51,Local,tC/hm2,12.33
M390,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,Yes,GEDI Multi-level,8,Fine,LiDAR+Optical,Yes,Machine-learning,Random Forest,Yes,51,Local,tC/hm2,6.179
M391,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,Yes,GEDI Multi-level,8,Fine,LiDAR+Optical,Yes,Machine-learning,SVM,No,51,Local,tC/hm2,8.873
M392,S102,Jiyuan,Yang et al. 2025b,2025,Journal of Applied Remote Sensing,China,East-Asia,Temperate,Deciduous forest,Hilly,Yes,GEDI Multi-level,8,Fine,LiDAR+Optical,Yes,Deep-learning,CNN,No,51,Local,tC/hm2,6.669
M393,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,BiomSHARP,Yes,64 patches (1920x1920),Regional,Mg/ha,33.7
M394,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,BiomSHARP,Yes,64 patches (1920x1920),Regional,Mg/ha,32.84
M395,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,HAT S,No,64 patches (1920x1920),Regional,Mg/ha,48.58
M396,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,HAT S,No,64 patches (1920x1920),Regional,Mg/ha,48.58
M397,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,ReUse,No,64 patches (1920x1920),Regional,Mg/ha,41.19
M398,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,ReUse,No,64 patches (1920x1920),Regional,Mg/ha,39.5
M399,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,SGNet,No,64 patches (1920x1920),Regional,Mg/ha,36.89
M400,S103,AoI_Europe,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,Spain,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,SGNet,No,64 patches (1920x1920),Regional,Mg/ha,35.08
M401,S103,France_2020,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,France,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,BiomSHARP,Yes,AoI patches,Regional,Mg/ha,32.34
M402,S103,France_2020,Albors et al. 2025,2025,IEEE Transactions on Geoscience and Remote Sensing,France,Europe,Temperate,Mixed forest,Complex terrain,No,Missing,25,HR,Optical-only,Yes,Deep-learning,SGNet,No,AoI patches,Regional,Mg/ha,34.07
M408,S105,Hunan_Direct,Yao et al. 2026,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Complex terrain,Yes,Missing,30,MR,LiDAR-only,Yes,Statistical,Direct aggregation,No,,Regional,Mg/ha,32.67
M409,S105,Hunan_Linear,Yao et al. 2026,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Complex terrain,Yes,Missing,30,MR,LiDAR-only,Yes,Statistical,Linear Regression,No,,Regional,Mg/ha,23.9
M410,S105,Hunan_Ridge,Yao et al. 2026,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Complex terrain,Yes,Missing,30,MR,LiDAR-only,Yes,Statistical,Ridge Regression,No,,Regional,Mg/ha,12.39
M411,S105,Hunan_Lasso,Yao et al. 2026,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Complex terrain,Yes,Missing,30,MR,LiDAR-only,Yes,Statistical,Lasso Regression,No,,Regional,Mg/ha,20.41
M412,S105,Hunan_Stacking_Full,Yao et al. 2026,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Complex terrain,Yes,Missing,30,MR,LiDAR-only,Yes,Machine-learning,Stacking Ensemble,Yes,,Regional,Mg/ha,8.79
M413,S105,Hunan_Stacking_Reduced,Yao et al. 2026,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,China,East-Asia,Subtropical,Mixed forest,Complex terrain,Yes,Missing,30,MR,LiDAR-only,Yes,Machine-learning,Stacking Ensemble Reduced,No,,Regional,Mg/ha,12.11
M414,S106,Taiwan_kNN_Best,Lin & Doyog 2025,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Taiwan,East-Asia,Subtropical,Mixed forest,Mountainous,Yes,Missing,10,HR,LiDAR+Optical,Yes,Machine-learning,kNN,Yes,8000,Local,Mg/ha,33.72
M415,S106,Taiwan_kNN_SRan,Lin & Doyog 2025,2025,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Taiwan,East-Asia,Subtropical,Mixed forest,Mountainous,Yes,Missing,10,HR,LiDAR+Optical,Yes,Machine-learning,kNN,No,8000,Local,Mg/ha,34.74
